B,78,11096374903
A,79,11096376659
B,79,11096376710
A,80,11096378587
B,80,11096378622
A,81,11096380542
B,81,11096380554
A,82,11096382493
B,82,11096382519
A,83,11096384461
B,83,11096384496
A,84,11096386570
B,84,11096386678
A,85,11096388541
B,85,11096388623
A,86,11096390494
B,86,11096390580
A,87,11096392448
B,87,11096392507
A,88,11096394407
B,88,11096394441
A,89,11096396356
B,89,11096396375
A,90,11096398284
B,90,11096398298
A,91,11096400230
B,91,11096400376
A,92,11096402224
B,92,11096402273
A,93,11096404135
B,93,11096404157
A,94,11096406087
B,94,11096406103
A,95,11096408052
B,95,11096408067
A,96,11096409973
B,96,11096409986
A,97,11096411930
B,97,11096411956
A,98,11096413900
B,98,11096413946
A,99,11096415841
B,99,11096415864
A,100,11096417787
B,100,11096417806
A,101,11096419731
B,101,11096419747
A,102,11096421763
B,102,11096421822
A,103,11096423665
B,103,11096423710
A,104,11096425618
B,104,11096425649
A,105,11096427563
B,105,11096427580
A,106,11096429549
B,106,11096429565
A,107,11096431452
B,107,11096431476
A,108,11096433385
B,108,11096433407
A,109,11096435377
B,109,11096435451
A,110,11096437305
B,110,11096437328
A,111,11096439245
B,111,11096439320
A,112,11096441215
B,112,11096441227
A,113,11096443136
B,113,11096443184
A,114,11096445126
B,114,11096445168
A,115,11096447057
B,115,11096447801
A,116,11096449011
B,116,11096449028
A,117,11096450971
B,117,11096451010
A,118,11096452920
B,118,11096452941
A,119,11096454856
B,119,11096454869
A,120,11096456823
B,120,11096456837
A,121,11096458776
B,121,11096458818
A,122,11096460739
B,122,11096460752
A,123,11096462640
B,123,11096462663
A,124,11096464611
B,124,11096464624
A,125,11096466587
B,125,11096466646
A,126,11096468523
B,126,11096468550
A,127,11096470463
B,127,11096470482
A,128,11096472413
B,128,11096472429
A,129,11096474368
B,129,11096474384
A,130,11096476325
B,130,11096476340
A,131,11096478248
B,131,11096478284
A,132,11096480216
B,132,11096480230
A,133,11096482162
B,133,11096482187
A,134,11096484145
B,134,11096484183
A,135,11096486063
B,135,11096486144
A,136,11096487622
B,136,11096487695
A,137,11096489549
B,137,11096489584
A,138,11096491519
B,138,11096491563
A,139,11096493439
B,139,11096493461
A,140,11096495418
B,140,11096495476
A,141,11096497370
B,141,11096497410
A,142,11096499311
B,142,11096499351
A,143,11096501260
B,143,11096501300
A,144,11096503193
B,144,11096503208
A,145,11096505141
B,145,11096505167
A,146,11096507120
B,146,11096507182
A,147,11096509080
B,147,11096509122
A,148,11096511006
B,148,11096511031
A,149,11096512971
B,149,11096513003
A,150,11096514926
B,150,11096515023
A,151,11096516891
B,151,11096516939
A,152,11096518830
B,152,11096518867
A,153,11096520770
B,153,11096520793
A,154,11096522724
B,154,11096522746
A,155,11096524652
B,155,11096524682
A,156,11096526625
B,156,11096526665
A,157,11096528575
B,157,11096528656
A,158,11096530503
B,158,11096530530
A,159,11096532464
B,159,11096532479
A,160,11096534416
B,160,11096534430
A,161,11096536366
B,161,11096536379
A,162,11096538336
B,162,11096538375
A,163,11096540271
B,163,11096540284
A,164,11096542219
B,164,11096542232
A,165,11096544170
B,165,11096544193
A,166,11096546121
B,166,11096546144
A,167,11096548059
B,167,11096548082
A,168,11096550028
B,168,11096550054
A,169,11096551976
B,169,11096551989
A,170,11096553930
B,170,11096553990
A,171,11096555897
B,171,11096555910
A,172,11096557839
B,172,11096557867
A,173,11096559813
B,173,11096559872
A,174,11096561740
B,174,11096561760
A,175,11096563694
B,175,11096563755
A,176,11096565662
B,176,11096565702
A,177,11096567567
